2025-06-28 14:50:42,BEARISH,0.1739,0.1749,0.1713,AUTO,OUVERT
2025-06-28 14:56:13,BEARISH,0.174,0.175,0.1714,AUTO,FERMÉ - FERME MANUELLEMENT
2025-07-10 18:41:44,BULLISH,0.1961,0.1944,0.199,AUTO,OUVERT,
2025-07-10 18:59:19,BULLISH,0.1964,0.1947,0.1993,AUTO,OUVERT,
2025-07-10 19:06:46,BEARISH,0.1971,0.1988,0.1941,AUTO,OUVERT,
2025-07-10 19:26:41,BULLISH,0.1989,0.1972,0.2019,AUTO,OUVERT,
2025-07-10 19:30:09,BEARISH,0.1995,0.2012,0.1965,AUTO,OUVERT,
2025-07-10 20:08:46,BULLISH,0.2013,0.1996,0.2043,AUTO,OUVERT,
2025-07-11 13:45:23,BULLISH,0.2229,0.221,0.2262,AUTO,OUVERT,
2025-07-11 14:14:28,BULLISH,0.2247,0.2228,0.2281,AUTO,OUVERT,
2025-07-11 15:24:28,BULLISH,0.2258,0.2239,0.2292,AUTO,OUVERT,
2025-07-11 15:57:39,BULLISH,0.2319,0.2299,0.2354,AUTO,OUVERT,
2025-07-11 16:00:28,BULLISH,0.232,0.23,0.2355,AUTO,OUVERT,
2025-07-11 16:05:34,BULLISH,0.2291,0.2272,0.2325,AUTO,OUVERT,
2025-07-13 00:36:52,BULLISH,0.2184,0.2165,0.2217,AUTO,OUVERT,
2025-07-13 01:40:00,BULLISH,0.2179,0.216,0.2212,AUTO,OUVERT,
2025-07-13 01:59:11,BEARISH,0.2189,0.2208,0.2156,AUTO,OUVERT,
2025-07-13 02:17:07,BULLISH,0.2192,0.2173,0.2225,AUTO,OUVERT,
2025-07-13 02:26:52,BEARISH,0.2204,0.2223,0.2171,AUTO,OUVERT,
2025-07-14 13:40:08,BEARISH,0.2747,0.277,0.2706,AUTO,OUVERT,
2025-07-14 14:16:22,BULLISH,0.2799,0.2775,0.2841,AUTO,OUVERT,
2025-07-14 14:35:53,BEARISH,0.2779,0.2803,0.2737,AUTO,OUVERT,
2025-07-14 15:02:14,BULLISH,0.2823,0.2799,0.2865,AUTO,OUVERT,
2025-07-14 15:32:34,BULLISH,0.2793,0.2769,0.2835,AUTO,OUVERT,
2025-07-14 17:22:54,BULLISH,0.2791,0.2767,0.2833,AUTO,OUVERT,
2025-07-14 17:55:50,BEARISH,0.2764,0.2787,0.2723,AUTO,OUVERT,
2025-07-14 18:00:13,BEARISH,0.2805,0.2829,0.2763,AUTO,OUVERT,
2025-07-14 18:04:24,BEARISH,0.2846,0.287,0.2803,AUTO,OUVERT,
2025-07-15 02:17:30,BEARISH,0.285,0.2874,0.2807,AUTO,OUVERT,
2025-07-15 02:22:29,BULLISH,0.2873,0.2849,0.2916,AUTO,OUVERT,
2025-07-15 02:29:46,BEARISH,0.2889,0.2914,0.2846,AUTO,OUVERT,
2025-07-15 02:33:24,BULLISH,0.2852,0.2828,0.2895,AUTO,OUVERT,
2025-07-15 02:35:17,BEARISH,0.2845,0.2869,0.2802,AUTO,OUVERT,
2025-07-15 02:35:49,BEARISH,0.2843,0.2867,0.28,AUTO,OUVERT,
2025-07-15 02:37:52,BULLISH,0.2845,0.2821,0.2888,AUTO,OUVERT,
2025-07-15 02:38:48,BEARISH,0.2855,0.2879,0.2812,AUTO,OUVERT,
2025-07-15 02:43:15,BEARISH,0.2808,0.283,0.2766,AUTO,OUVERT,
2025-07-15 02:44:18,BEARISH,0.2815,0.2838,0.2773,AUTO,OUVERT,
2025-07-15 02:45:06,BULLISH,0.2816,0.2793,0.2858,AUTO,OUVERT,
2025-07-15 02:45:46,BEARISH,0.2819,0.2842,0.2777,AUTO,OUVERT,
2025-07-15 15:18:18,BEARISH,0.291,0.2933,0.2866,AUTO,OUVERT,
2025-07-15 15:28:13,BEARISH,0.2874,0.2897,0.2831,AUTO,OUVERT,
2025-07-15 15:32:45,BEARISH,0.2872,0.2895,0.2829,AUTO,OUVERT,
2025-07-15 15:45:55,BEARISH,0.2907,0.293,0.2863,AUTO,OUVERT,
2025-07-15 16:09:07,BEARISH,0.2883,0.2906,0.284,AUTO,OUVERT,
2025-07-15 16:30:10,BEARISH,0.2842,0.2865,0.2799,AUTO,OUVERT,
